パン、米など,肉類,魚介類,果物、野菜類,酒類,たばこ関連,被服、生活必需品,医療、サプリメント関連,PC・通信関連,その他,サブスクA契約有無,サブスクB契約有無,サブスクC契約有無,サブスクD契約有無,サブスクE契約有無,性別,ユーザー年齢,同居人登録有無,子供有無,テレビ有無,冷蔵庫有無,洗濯機有無,エアコン有無,車有無,固定電話有無,携帯電話有無,PC有無
4770,2000,2360,1880,5870,0,5640,2660,3360,8770,0,0,0,0,0,1,50,1,1,1,1,1,0,0,0,0,1
4760,1370,610,3080,0,240,1900,6170,3370,9660,0,0,1,0,0,1,58,1,1,1,1,1,0,0,0,1,0
5830,1250,1860,1390,0,0,14840,2020,3300,12250,0,0,0,0,0,1,58,1,1,1,1,1,1,0,0,1,0
2460,10,520,2990,0,60,650,1790,-10,14570,0,1,0,0,0,0,75,0,0,0,1,0,0,0,0,0,0
3610,720,600,1450,10,2380,2480,900,2210,5440,1,0,1,0,0,1,55,1,1,1,1,1,0,0,0,0,0
1550,650,260,0,1320,0,3010,2090,2210,5930,0,0,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0
6290,2730,1780,290,30,260,25770,5420,40070,7500,1,0,1,0,1,1,54,1,1,1,1,1,1,1,1,1,1
6320,1330,1610,2870,20,0,26840,7440,14870,12430,1,0,0,0,1,1,48,1,1,1,1,1,1,1,1,1,1
5260,1770,1600,4150,4000,2490,3030,3660,2680,4140,0,0,0,1,0,0,56,1,1,1,1,0,0,0,0,1,0
8750,40,1930,1510,0,0,2030,320,5650,7900,0,0,0,0,0,1,43,1,0,1,1,0,0,0,0,1,0
4870,760,2560,2880,1370,5310,1250,190,2910,5860,0,0,0,0,0,1,49,1,0,1,1,0,0,0,0,1,0
4610,400,890,1890,890,4450,520,1400,3410,7050,0,1,0,0,0,1,46,1,0,0,1,0,0,0,0,1,0
2850,1010,1640,1660,0,0,2300,1230,4060,4580,0,0,0,0,0,0,52,1,0,0,1,0,0,0,0,1,0
2430,980,700,2230,0,2390,3860,530,3490,3170,0,1,1,1,0,1,42,1,1,1,1,1,0,1,0,1,0
5110,3100,1410,1300,10820,15780,770,1380,5590,3540,0,0,1,0,0,1,46,1,1,1,1,0,0,0,0,1,1
3870,1760,1020,1230,8140,20,2900,260,4440,4120,1,0,0,0,0,1,45,1,0,1,1,1,0,1,0,1,0
4360,440,390,5640,0,30,1080,2230,2400,4800,0,0,0,0,0,0,67,0,0,0,1,0,0,0,0,1,0
4990,0,0,1430,4120,4850,4350,2000,12050,6810,0,0,1,1,0,1,42,1,1,0,0,0,0,0,0,1,0
5160,1320,1380,460,15460,0,20130,20150,12520,16750,0,0,0,0,0,1,50,1,0,1,1,1,1,1,1,1,1
4520,850,990,4570,780,6140,3840,1540,2420,4960,0,1,0,0,0,0,71,1,0,1,1,1,0,0,0,1,0
5270,2820,800,1660,17760,0,3990,2860,81370,12380,0,0,0,1,0,0,51,1,0,1,1,1,1,0,0,1,1
2680,120,560,2480,760,5470,520,1040,4820,6420,0,1,0,0,0,1,43,1,1,1,1,0,0,0,0,1,0
5420,640,420,1740,0,40,2890,1350,2550,7610,0,0,0,1,0,1,56,0,0,1,1,0,0,0,0,1,0
6390,510,590,680,560,0,7470,5740,5370,5200,1,0,0,1,0,1,46,1,1,1,1,0,0,1,0,1,0
5510,630,1010,3320,4720,2240,4460,530,2570,7220,0,1,0,0,0,1,57,1,1,0,1,1,0,0,0,1,0
2020,1220,550,970,0,40,3520,1820,2700,4150,0,0,0,0,0,1,29,0,0,1,1,0,0,0,0,1,0
5070,2320,2270,1100,2420,5270,38010,16700,48800,15100,1,0,0,1,0,0,61,1,0,1,1,1,1,0,0,1,1
7160,1850,590,730,190,10,3270,2860,2660,6600,0,0,0,0,0,1,84,1,0,1,1,0,0,0,0,1,0
4740,1720,1600,1480,5360,5510,5110,360,6390,6460,0,0,0,0,1,1,44,1,0,0,1,1,0,1,1,0,0
2360,1980,660,490,0,640,4130,920,14090,4740,0,0,1,0,0,0,42,1,0,1,1,1,0,0,0,1,1
2810,1750,1190,1160,0,0,8430,7390,2130,11360,0,0,0,1,0,0,77,1,1,1,1,1,0,0,0,1,0
4730,150,570,1510,10320,4060,720,2240,2200,2690,0,0,0,1,0,1,50,1,0,0,1,0,0,0,0,1,0
1740,160,390,500,14370,17790,2550,1920,2940,4020,0,0,0,0,0,1,30,0,0,0,1,0,0,0,0,1,0
3960,690,1700,2400,7540,7480,5690,0,3350,5750,0,0,1,0,0,1,31,1,1,0,1,0,0,0,0,1,0
3060,3180,10240,0,0,420,251620,12150,13520,11520,0,0,1,0,0,1,46,1,0,1,1,1,1,1,0,1,1
6650,1280,640,1120,0,50,2940,950,6600,3900,0,1,0,1,0,1,60,1,1,1,1,1,0,0,0,1,0
3140,1810,1460,2350,1260,5010,20610,8380,9690,10850,0,0,0,0,0,1,31,1,1,1,1,1,0,0,0,1,0
3980,290,1420,5040,0,0,4720,670,8860,3630,1,0,0,0,0,1,49,1,0,1,1,0,0,0,1,1,0
5870,1170,970,1500,420,0,8320,3310,23690,13980,0,0,0,0,0,0,57,1,0,1,1,1,0,0,0,1,1
1490,360,0,840,0,0,3320,1850,4470,8010,0,0,1,1,0,0,58,1,0,1,0,1,0,0,0,1,1
1890,1450,970,2280,0,0,2360,6620,12920,5760,0,0,0,0,0,1,49,1,0,1,1,1,0,1,0,1,1
5050,670,880,2500,0,0,1260,2390,3690,6390,0,0,0,1,0,0,45,1,1,1,1,0,0,0,0,1,0
1760,50,1740,2440,1720,40,1240,2440,2740,6560,0,0,0,1,0,0,82,1,1,0,1,0,0,1,0,1,0
3580,2500,1440,1990,0,0,14230,3270,48400,8220,0,0,0,0,0,0,59,0,0,1,1,1,1,0,0,1,1
5770,1260,980,800,0,0,1990,3890,2610,3610,0,0,0,0,0,1,80,0,0,1,1,1,0,0,0,1,0
2940,1560,1010,3130,310,0,7190,2400,7350,8190,0,0,0,1,0,1,71,1,0,1,1,1,0,1,0,1,1
3390,910,1670,3100,0,0,6830,5550,5640,11180,0,0,0,1,0,1,51,1,1,1,1,0,0,0,0,1,1
4180,1150,1100,1140,1580,4340,2910,1570,13860,6080,0,1,0,0,0,1,41,1,0,1,1,1,0,0,0,1,1
4010,2170,1560,0,0,0,20070,45480,23140,23860,0,0,0,1,0,1,61,1,1,1,1,1,0,1,0,1,1
3310,1690,1220,460,8010,9150,7330,5140,7600,2270,0,1,1,0,0,1,30,1,1,1,1,1,0,0,0,1,1
4570,1170,860,0,2510,4640,3480,980,4270,4080,0,0,0,1,0,1,26,1,0,1,1,0,0,1,0,1,0
2630,290,1150,610,6070,5790,0,0,0,2670,0,0,1,1,0,1,28,1,0,0,1,0,0,0,0,0,0
4110,180,450,690,3900,4890,1550,380,260,6090,0,1,0,0,0,1,40,1,1,1,0,0,0,0,0,0,0
2790,1110,800,1370,980,30,6220,1330,102630,4110,1,0,0,1,0,1,39,1,1,1,1,1,0,0,0,1,1
4150,790,710,2060,2720,4080,5700,3290,6920,3910,1,0,0,0,0,1,30,1,0,0,1,1,0,1,0,1,0
3630,150,1200,840,0,40,4000,1440,2530,11230,0,0,0,0,0,0,68,1,0,1,1,0,0,0,1,1,0
3100,1840,1480,0,0,590,8070,8680,40600,6820,1,0,1,1,0,0,36,1,1,0,1,1,1,0,0,1,1
6680,120,110,710,570,10,780,450,2840,14760,0,0,0,1,0,1,78,1,1,0,1,0,0,1,0,1,0
3020,520,1880,2300,10,0,820,620,1950,3140,1,0,0,0,0,1,40,1,0,0,1,0,0,1,0,0,0
6020,490,1570,1690,5760,4690,1750,4370,2440,6890,0,0,0,1,0,1,61,1,0,1,1,0,0,0,0,1,0
3130,1980,390,950,710,6340,5710,1420,5210,3270,0,1,1,0,0,1,31,1,1,1,1,1,0,0,0,1,0
3220,570,640,650,0,4520,530,190,0,6660,0,0,0,0,0,1,40,1,1,1,1,0,0,0,0,0,0
4880,1430,1190,1050,0,5510,1980,1740,7870,4800,0,0,0,0,0,1,39,1,1,1,1,0,1,0,0,1,1
5670,480,1580,600,4760,7600,25890,5740,42680,11710,1,1,0,1,0,0,70,1,1,1,1,0,1,0,0,1,1
3970,820,340,1670,640,3290,1520,7880,2970,4020,0,0,1,0,0,1,37,1,1,1,1,1,1,0,0,1,1
2000,870,750,2080,1290,0,1400,1090,3320,5580,0,0,0,1,0,1,49,1,1,1,1,0,1,0,0,1,0
6000,320,1410,1780,1360,1670,1080,1460,4850,10070,1,0,0,0,0,0,82,1,1,0,1,0,0,0,0,1,0
1580,1680,1000,910,0,0,6830,2250,34440,7090,0,0,0,0,0,0,45,0,0,1,1,1,1,1,0,1,1
2610,1070,1400,1820,10,40,3840,1240,3280,6120,0,0,0,1,0,0,64,1,0,0,1,0,0,0,0,1,0
4050,480,720,1010,3310,5190,1890,2920,3880,8990,0,0,0,1,0,1,46,0,0,1,1,1,0,0,0,1,0
1480,1100,1000,1210,640,7410,3090,1730,2860,6880,0,1,0,0,0,0,50,1,0,0,1,0,0,0,0,1,0
2590,30,550,1420,5690,1080,2750,1920,2720,6960,0,0,0,0,0,1,52,1,1,0,1,0,0,0,0,0,0
4170,900,930,720,19290,9680,5630,4390,2280,8490,0,1,0,0,0,1,58,1,1,1,1,1,0,0,0,1,0
1890,230,1550,2260,10,950,2030,2450,3460,9050,1,0,1,0,0,0,44,1,0,1,1,0,0,0,1,0,0
2830,870,920,2580,0,0,690,1440,4210,6680,1,0,0,1,0,1,78,1,1,1,1,0,0,0,0,1,1
5580,1580,1760,1990,0,20,6690,10690,4980,5530,0,0,0,0,0,1,51,1,1,1,1,0,0,1,0,1,0
1460,690,2570,2600,0,140,730,6020,16450,5080,0,0,1,0,0,0,34,0,0,1,1,0,1,0,0,1,1
3310,1430,800,600,0,0,2580,290,28320,7600,0,0,0,0,0,1,48,1,0,1,1,1,0,0,0,1,1
3540,1290,760,1470,7710,0,3620,3710,6250,4070,1,0,0,0,0,1,37,1,1,1,1,1,0,0,0,1,0
4670,920,1070,440,680,4260,2240,2480,3800,7160,0,0,0,0,0,0,58,1,0,1,1,0,0,0,0,1,0
4670,700,440,560,0,50,1280,1210,4350,4890,0,0,0,1,0,0,53,1,1,1,1,0,1,1,0,1,0
4410,300,830,1090,1040,40,0,0,5960,5930,0,0,0,0,0,1,53,1,1,0,1,0,1,1,0,1,1
5800,3330,830,260,8470,90,20250,4510,22340,14590,1,1,0,1,0,1,64,1,1,1,1,1,0,0,0,1,1
6280,860,590,1000,0,0,3700,2720,6930,4870,0,0,0,0,0,0,42,1,0,1,1,1,0,0,0,1,1
2720,2070,1260,1080,1610,490,12260,16090,4430,6070,1,0,1,0,0,1,40,1,0,1,1,1,0,0,0,1,0
4380,2170,1520,980,1710,4840,1310,1560,4010,6410,0,0,0,0,0,1,67,1,1,1,1,0,0,0,0,1,0
2840,2180,2520,260,7260,15610,5490,1710,6460,8280,0,0,1,1,0,1,33,1,1,1,1,0,0,0,0,1,1
5240,110,0,1480,10,180,5070,5230,4360,6800,1,0,1,1,0,0,39,1,1,1,0,1,0,0,0,1,0
4390,150,2940,310,30,870,1940,1750,3820,5170,0,0,1,1,0,1,36,1,1,0,1,0,0,1,0,1,0
4050,1470,950,1870,1570,4490,2110,7810,14640,10940,0,0,0,1,0,1,49,1,1,1,1,0,0,1,0,1,0
2360,1350,820,1210,0,0,3760,2800,3400,4020,0,0,0,0,0,1,70,0,0,1,1,0,0,1,0,0,0
2840,0,0,0,20,0,1380,2210,4580,6850,0,0,0,0,0,0,67,0,0,1,0,1,0,0,0,1,1
5580,1070,1300,2090,6000,5130,2150,790,3050,5170,0,0,0,0,0,0,59,1,0,1,1,0,0,0,0,1,0
4140,1750,900,2820,2810,20,2580,160,6420,8690,0,0,0,0,0,1,36,1,0,1,1,0,0,0,0,1,0
2400,610,770,1850,0,1400,1350,330,3590,10280,1,0,0,0,0,0,66,1,0,1,1,1,0,0,0,1,0
3710,1390,430,1580,1210,50,3400,8960,5450,13100,0,0,0,0,0,1,66,1,0,1,1,1,1,1,0,1,1
3780,1220,1000,1880,0,5420,2690,2870,3250,6870,0,1,0,0,0,1,33,1,0,1,1,0,0,0,0,1,0
5910,1620,1520,600,11810,6340,900,1680,2550,7780,0,1,0,0,0,1,66,1,1,1,1,0,0,1,0,1,0
2880,1900,1520,0,0,0,3690,7890,6260,12120,0,0,0,0,0,1,51,1,0,1,1,1,0,1,0,1,1
4210,900,1240,1730,830,0,1970,1000,4720,5200,1,0,0,1,0,1,25,1,1,1,1,0,0,0,0,1,0
1830,2590,720,2060,0,910,2570,2530,4590,4850,1,0,1,1,0,0,34,1,1,1,1,1,0,0,0,1,0
1950,380,370,2030,1130,4310,1590,1260,2030,2900,0,0,0,0,0,1,29,1,0,0,1,0,0,0,0,1,0
3210,1790,1470,1470,390,1540,3170,1630,2990,3230,0,0,0,1,0,0,47,1,0,1,1,0,0,0,0,1,0
4220,1520,690,1200,1130,250,4780,340,4210,4520,1,0,1,0,0,1,32,1,1,1,1,0,0,0,0,1,0
2850,280,150,2830,590,5080,1650,3460,2980,5240,0,0,0,0,0,1,39,1,0,1,0,0,0,0,0,0,0
3780,770,590,3550,0,0,6580,3670,4560,8050,0,0,0,0,0,1,61,1,0,0,1,0,0,0,0,1,0
5190,2070,1250,1060,9160,5780,1070,4560,10130,13300,0,0,0,0,0,1,72,1,1,1,1,1,0,0,0,1,0
3640,800,490,290,1030,0,2560,2430,26590,5410,1,0,0,0,0,1,46,1,1,1,1,0,0,1,0,1,0
5300,360,740,250,0,1040,310,1310,2940,2460,1,0,1,1,0,1,39,1,0,1,1,0,0,0,0,1,0
3310,0,300,1490,0,30,2290,2660,0,10710,0,1,0,1,0,0,83,1,0,0,0,1,0,0,0,0,0
2770,1520,420,2210,0,30,10820,8890,13190,2220,1,0,0,1,0,1,26,0,0,1,1,1,0,0,0,1,0
4050,760,1410,510,9620,6370,1400,2700,9280,9380,0,0,0,0,0,1,40,1,0,0,1,1,0,0,0,0,0
3450,350,550,620,4580,1250,770,1420,2930,1910,0,0,0,0,0,1,35,1,0,0,1,0,0,0,0,1,0
950,190,30,570,0,30,780,910,2380,3170,0,0,0,0,0,0,50,0,0,1,1,0,0,0,0,1,0
2590,620,300,1810,2890,0,4500,2630,2110,2550,0,0,0,0,0,1,62,1,0,1,1,0,0,0,0,1,0
5910,2510,740,990,1110,10,1990,1490,3890,5280,0,1,0,0,0,0,50,1,0,1,1,0,0,0,0,1,1
4840,800,920,1960,20,410,1430,1230,3970,4640,1,0,1,0,0,1,59,1,0,1,1,0,0,0,1,1,0
6500,1510,1370,1010,11760,0,3670,320,2360,10830,0,0,0,1,0,1,53,1,0,1,1,0,0,0,0,1,0
6680,1590,840,2540,6360,15610,570,2920,3880,9030,0,0,0,1,0,1,67,1,0,0,1,0,0,0,0,1,0
4810,1870,1130,480,4090,2130,5450,9080,11800,5080,0,0,1,0,0,1,33,1,1,1,1,1,0,0,0,1,0
3080,3200,1700,270,0,0,4980,87690,19560,12530,0,0,0,1,0,1,57,1,0,1,0,1,0,0,1,1,1
3500,120,60,5160,370,5530,7900,1620,3700,2060,0,0,1,1,0,1,35,1,1,0,1,0,0,0,0,1,0
3980,1090,1160,800,5190,0,3000,5080,17620,7680,0,0,0,0,0,1,52,1,0,1,1,1,0,0,1,1,1
400,0,0,0,0,50,3560,1340,3160,2620,0,1,0,1,0,0,26,1,1,0,0,0,0,0,0,1,0
3340,120,0,360,2480,4350,670,2090,2280,3770,0,0,0,0,0,1,21,1,0,1,0,0,0,0,0,0,0
8800,1380,1090,2930,0,2550,1170,2630,4610,8160,0,1,0,1,0,0,72,1,1,1,1,0,0,0,0,1,1
4900,1040,910,2540,20,30,4990,8600,3890,7490,0,0,0,0,0,1,50,1,0,0,1,0,1,0,0,1,1
4550,490,960,3030,320,10,5740,840,9300,7890,0,0,0,0,0,0,80,1,0,1,1,1,1,0,0,1,0
3530,1530,530,620,0,0,1930,4080,6070,6800,1,0,0,1,0,0,58,0,0,1,1,1,1,0,0,1,0
3720,180,1860,630,0,430,560,850,4510,4090,0,0,1,1,0,1,31,1,1,0,1,0,0,0,0,0,0
5250,460,680,3280,7930,4020,3980,3760,3180,4880,1,0,0,0,0,0,63,1,1,1,1,0,0,0,0,0,0
6060,1670,1320,1410,5500,3010,1390,7010,13600,16280,0,0,0,0,0,1,55,1,0,1,1,1,0,0,0,1,0
3630,840,890,2560,0,660,2860,1780,3100,6280,0,1,1,0,0,1,33,1,0,1,1,0,0,0,0,1,0
2190,400,860,1160,0,60,1260,3580,3030,7240,0,0,0,1,0,0,48,1,0,0,1,0,0,0,0,1,0
1240,100,130,0,1000,0,11490,23230,14770,7630,0,0,0,1,0,1,71,1,0,1,1,0,1,1,0,1,1
4260,1480,1970,1980,5980,7780,12040,830,42040,10950,0,0,0,0,0,1,51,1,0,1,1,1,0,0,0,1,1
5550,610,1000,2330,0,1200,11940,1840,3720,4280,0,1,0,1,0,1,40,1,1,1,1,1,0,0,0,1,0
4020,3400,2140,860,0,270,230,8270,4130,7020,0,0,1,0,0,1,64,0,0,1,1,1,0,0,0,1,1
4240,640,2370,490,0,2250,4130,2610,3950,8050,0,0,0,0,0,1,48,1,0,1,1,1,0,0,0,1,0
2070,530,1680,2890,0,0,0,126240,9770,9650,1,0,0,1,0,0,59,1,1,1,1,1,1,0,0,1,1
2950,2100,1010,1540,3190,0,12450,12740,3090,19740,0,0,0,1,0,0,77,1,1,1,1,1,1,1,0,1,0
3990,10,590,2300,0,0,160,420,1980,8110,0,0,0,0,0,0,68,1,0,0,1,0,0,0,1,1,0
4680,2000,870,340,5140,0,2010,6750,27500,4920,0,0,0,1,0,1,44,1,0,1,1,0,0,1,0,1,0
5340,730,1300,730,30,5600,1180,3540,12220,5850,0,0,1,1,0,1,41,1,1,1,1,0,0,0,0,1,0
1670,470,100,310,1140,1390,10480,2760,6460,8590,0,0,1,0,0,1,31,1,0,1,1,1,0,0,0,1,0
4400,1600,910,4510,7140,4410,2540,1510,16490,5770,0,1,1,1,0,1,29,1,0,1,1,1,1,0,0,1,1
4850,1270,1170,1920,7240,5500,1100,430,3280,3500,0,0,0,0,0,1,55,1,0,0,1,0,0,0,0,1,1
2440,0,0,1230,350,2410,1040,0,2020,3760,1,0,0,0,0,1,65,1,0,0,0,0,0,0,0,0,0
5880,0,0,1600,10380,430,2210,1670,3410,7670,0,0,1,0,0,1,53,1,0,1,0,0,0,0,0,1,0
3400,1140,740,3210,360,0,1840,160,4490,10170,0,0,0,0,0,1,63,1,0,1,1,0,0,0,0,1,0
6480,1040,380,670,0,5610,13600,12770,27550,7040,0,0,0,0,0,0,48,1,0,1,1,1,0,1,1,1,1
4250,850,760,540,460,5130,470,930,3440,4240,1,0,1,0,0,1,36,1,0,0,1,1,0,0,0,0,0
3900,1550,1630,1010,810,6470,3440,3220,3780,6010,0,1,1,0,0,1,23,1,0,1,1,0,0,0,0,1,0
6530,1530,1070,480,1010,8220,5520,5840,2310,9020,0,0,0,0,0,1,50,1,0,1,1,1,0,0,0,1,0
2950,1920,1050,0,0,170,8980,1040,30180,2220,1,0,1,0,0,0,19,0,0,1,1,0,0,0,0,1,1
4130,520,340,860,0,10,1600,780,2700,6940,0,0,0,0,0,1,47,1,1,1,0,0,0,0,0,1,0
7010,700,2010,3120,8250,100,1450,1410,0,5390,0,0,0,0,0,1,48,1,1,0,1,0,0,0,0,0,0
4960,1440,780,1390,3720,0,1900,1660,5030,6420,1,0,0,1,0,1,44,1,1,1,1,1,0,0,0,1,0
4180,980,660,1100,1110,5700,2280,1790,11280,4200,0,1,1,0,1,1,36,1,1,1,1,0,0,1,0,1,0
4750,670,930,1260,0,3760,770,3330,2590,9310,0,1,0,0,0,1,56,1,0,1,1,0,0,0,0,1,0
3690,1930,1820,1000,7770,13650,1610,2690,4270,5960,0,0,0,1,0,1,56,1,1,1,1,0,0,0,0,1,0
8690,1360,790,3710,3890,5640,2700,690,2290,10220,0,0,0,0,0,1,85,1,0,1,1,0,0,0,0,1,0
5050,800,600,2610,900,5260,0,0,4700,4920,0,0,1,1,0,1,42,1,0,1,1,0,0,0,0,1,0
8310,920,750,3760,370,1280,8790,9020,2490,9420,0,1,0,0,0,1,64,1,0,1,1,1,1,0,0,1,0
4510,2530,1040,2450,10350,18310,7690,8290,6680,27430,0,1,0,1,0,1,62,1,1,1,1,0,0,1,0,1,1
4000,1960,280,690,0,0,4670,360,4280,6610,0,0,0,0,0,0,34,1,0,1,1,1,0,0,0,1,0
5700,6060,3120,5060,6900,15820,11500,16890,71840,8040,0,1,0,0,1,1,66,1,1,1,1,1,1,1,1,1,1
3470,450,1680,390,4820,2610,1200,700,8340,7400,0,0,0,0,1,1,57,1,0,1,1,0,0,0,0,1,0
4400,1620,900,1310,9870,5220,5070,2330,7630,9560,1,0,0,0,0,1,60,1,0,1,1,1,0,0,0,1,0
6550,1100,470,1080,860,30,2500,39460,57060,12180,0,0,0,0,0,1,79,1,0,1,0,0,1,1,1,1,1
7150,730,1380,2720,0,40,6860,2100,3950,9150,0,0,0,1,0,0,64,1,1,1,1,1,0,0,0,1,1
3410,840,460,300,5500,4940,1880,160,5390,10100,0,1,0,0,0,0,52,1,1,1,1,1,0,0,1,1,0
4170,1420,640,1820,1180,4180,3550,1140,4180,5970,0,0,0,0,0,1,31,1,1,1,1,0,0,0,0,1,0
3640,540,2030,5090,4320,4130,2500,1670,2570,5640,0,1,0,0,0,1,50,1,1,1,1,1,0,0,0,1,0
4660,1100,2780,2630,7600,0,3120,8380,13460,6490,0,0,0,0,1,1,49,1,0,1,1,1,0,1,0,1,1
4910,230,1350,5510,0,90,2140,390,0,6190,0,1,0,0,0,1,46,1,1,0,1,0,0,0,0,0,0
6830,3960,2140,2180,0,5050,12860,3080,9720,12050,0,1,0,1,0,0,57,1,1,1,1,1,0,1,0,1,1
4520,0,0,340,0,0,3340,1180,2080,5860,0,0,0,0,1,1,59,0,0,1,0,0,0,0,0,1,0
2720,410,0,250,0,10,370,1220,3440,4070,0,0,0,1,0,1,32,1,1,1,0,0,0,0,0,1,0
6510,2010,1320,530,4470,290,15870,13750,13880,5060,1,0,1,1,0,0,37,1,1,1,1,1,0,0,0,1,1
5770,800,850,980,0,4170,1210,320,2550,7540,0,1,0,1,0,0,66,1,1,0,1,0,0,0,0,1,0
2130,330,850,1180,20,0,15140,4350,4070,11170,0,0,0,0,0,0,74,1,0,1,1,0,0,0,0,1,1
3920,1890,1410,360,8440,15140,6900,930,57880,7440,0,0,0,0,0,1,49,1,0,1,1,1,0,0,0,1,1
2910,590,840,650,890,3310,3420,1110,2790,8300,0,0,0,0,0,0,63,0,0,1,1,0,0,0,0,1,0
6330,5100,1920,1010,10,1190,3420,3370,17340,3600,0,0,0,1,0,1,50,1,1,1,1,0,0,0,0,1,1
6810,160,0,1160,1590,0,3680,2680,3340,7630,0,0,0,0,0,1,57,1,0,1,0,0,0,1,0,1,0
5470,680,1220,2060,690,4690,3650,1100,6440,10140,0,0,0,0,0,1,45,1,1,1,1,1,0,0,0,1,0
2470,360,2700,1130,0,4210,540,1510,0,3060,0,1,1,0,0,1,37,1,0,0,1,0,0,0,0,0,0
3630,710,850,0,30,5480,2450,2890,3870,11440,0,0,0,0,0,0,53,0,0,1,0,1,0,0,0,1,1
4590,1740,1460,560,15220,180,3700,140,1680,6590,0,0,1,0,0,1,43,1,0,0,1,0,0,0,0,0,0
2460,0,260,2530,0,5710,1420,990,10,6840,0,0,0,0,0,0,64,0,0,1,0,0,1,0,0,0,0
4860,3620,1770,1190,4230,5080,6550,2580,18250,6130,0,1,0,0,0,1,46,1,0,1,1,1,0,1,0,1,1
6470,460,660,1440,1920,3820,2270,2610,2810,8240,0,0,0,1,0,0,72,1,1,1,1,0,0,0,0,1,0
3110,990,1340,1000,5720,3920,1390,790,2390,9960,0,1,0,1,0,1,51,1,1,0,1,0,1,0,0,1,0
5060,60,610,310,810,0,1550,2590,3200,6110,0,0,0,1,0,1,45,1,1,0,1,0,0,0,0,1,0
4810,770,550,0,5460,150,1010,2000,3870,5440,0,0,1,1,0,1,38,1,0,1,0,1,0,1,0,1,0
3800,2060,1870,1000,4590,7310,3730,240,49450,8930,1,0,1,0,0,1,56,1,1,1,1,0,0,0,0,1,0
3730,1810,860,2040,0,660,5320,10680,3470,3510,0,0,1,0,0,0,30,1,0,1,1,1,0,0,0,1,1
670,2160,1060,0,2390,130,2330,1860,3610,4610,0,0,1,1,0,0,21,0,0,0,1,0,0,0,0,1,0
5660,1600,1530,580,0,30,9720,3060,12150,13090,1,0,0,0,0,1,38,1,1,1,1,1,0,1,0,1,0
4380,410,1320,540,2860,5380,690,930,2820,8670,0,1,0,0,0,1,67,0,0,0,1,0,0,0,0,1,0
4210,2830,4870,1360,4110,20,12550,7200,11130,7500,0,0,0,1,0,1,40,1,0,1,1,0,0,0,0,1,0
4040,990,1120,1850,0,2840,2240,2080,4380,9170,0,0,0,0,0,1,62,1,0,1,1,0,0,0,0,1,0
1960,730,380,0,2290,0,3600,1100,2800,8630,0,0,0,1,0,0,58,1,1,1,1,1,0,0,0,1,0
2770,980,710,2650,4490,0,460,3420,2690,9930,0,0,0,1,0,1,54,1,0,1,1,0,0,0,0,1,0
4580,200,0,990,0,100,1870,1530,2550,9940,0,0,1,0,0,0,66,1,0,1,0,0,0,0,0,1,0
7350,1250,1580,310,0,5240,570,290,6060,6760,1,0,0,0,0,1,62,1,1,0,1,0,0,0,0,0,0
4180,540,530,5920,0,6530,15590,17870,3450,3670,1,1,1,0,0,1,40,1,0,1,1,0,0,0,0,1,0
1790,0,50,2980,0,5610,2950,2640,290,10560,0,1,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0
4860,410,1090,1940,10,1770,2440,1770,4670,4270,0,0,0,1,0,1,38,1,1,0,1,0,0,0,0,1,0
5510,1920,2220,1500,12880,7440,31760,9830,8260,6230,0,1,0,1,0,1,47,1,0,1,1,1,0,0,0,1,1
8010,0,0,1760,10,0,4310,1770,6290,6270,0,0,0,0,0,0,44,1,0,1,0,1,0,1,0,1,0
4970,310,1250,560,20,1750,2960,2020,0,8700,0,0,0,0,0,0,62,1,0,1,1,0,0,0,0,0,0
4610,2660,2210,1180,110,1600,12640,2270,12450,13710,0,0,0,0,0,1,73,1,1,1,1,1,0,0,0,1,1
2750,320,400,250,810,5260,3190,1590,3690,5690,0,1,0,1,0,1,46,1,0,1,1,0,0,0,0,1,0
8810,730,90,1040,880,0,650,1260,2730,7970,0,0,0,0,0,1,85,1,0,1,0,0,0,0,0,0,0
3490,2020,1150,1470,6820,3810,4900,2490,2440,7080,0,0,0,0,0,1,35,1,0,1,1,0,0,0,0,1,0
1260,400,430,2410,310,0,350,640,2500,2160,0,0,0,0,0,1,35,0,0,1,1,0,0,0,0,1,0
7710,820,1070,4720,580,0,2060,2550,2570,4720,0,0,0,1,0,1,31,1,1,1,1,0,0,0,0,1,0
4880,630,770,1970,0,0,650,1300,3780,11270,0,0,0,0,0,1,58,1,1,1,1,1,0,0,0,1,0
10180,0,0,200,24720,16620,13270,3450,48850,5110,0,1,0,0,1,1,39,0,0,1,0,0,1,1,0,1,1
460,530,420,0,0,4120,5740,700,6450,4430,0,0,0,0,0,0,31,0,0,1,1,1,0,0,0,1,0
4850,400,360,660,140,0,2810,1690,50460,7810,1,0,0,0,0,1,56,1,0,1,1,0,0,0,0,1,0
4100,620,1580,1560,10420,20,1640,3890,15100,11790,0,1,0,1,0,0,55,1,0,1,1,0,0,0,0,1,1
5340,540,840,2070,0,30,610,380,2980,2410,0,0,0,1,0,1,63,1,0,1,1,1,0,0,0,1,0
6120,1010,880,2740,5910,6290,5050,5880,3520,7700,1,1,0,0,0,1,51,1,0,1,1,0,0,1,0,1,0
