日付,プログラム,NW,DB,OS,統計
2017/7/1,39,77,41,71,54
2017/7/2,34,83,47,77,59
2017/7/3,37,79,44,74,56
2017/7/4,31,85,49,79,61
2017/7/5,39,77,42,72,55
2017/7/6,40,77,41,71,54
2017/7/7,37,79,44,74,56
2017/7/8,40,76,40,70,54
2017/7/9,33,83,47,77,60
2017/7/10,39,77,41,71,55
2017/7/11,33,84,48,78,60
2017/7/12,34,82,46,76,59
2017/7/13,36,81,45,75,58
2017/7/14,34,82,46,76,59
2017/7/15,34,82,47,77,60
2017/7/16,38,79,43,73,57
2017/7/17,38,78,42,72,56
2017/7/18,33,83,48,78,61
2017/7/19,37,80,44,74,57
2017/7/20,35,82,46,76,59
2017/7/21,34,83,47,77,60
2017/7/22,31,86,50,80,63
2017/7/23,40,77,41,71,55
2017/7/24,32,84,49,79,62
2017/7/25,36,81,45,75,58
2017/7/26,39,78,42,72,56
2017/7/27,33,83,48,78,61
2017/7/28,34,83,47,77,61
2017/7/29,34,83,47,77,61
2017/7/30,39,78,42,72,56
2017/7/31,35,82,46,76,60
2017/8/1,37,79,44,74,58
2017/8/2,34,83,47,77,61
2017/8/3,31,86,50,80,63
2017/8/4,34,83,47,77,60
2017/8/5,32,84,48,78,62
2017/8/6,37,80,44,74,58
2017/8/7,35,82,46,76,60
2017/8/8,33,84,48,78,62
2017/8/9,35,82,46,76,60
2017/8/10,38,79,43,73,57
2017/8/11,40,77,41,71,56
2017/8/12,35,82,46,76,60
2017/8/13,34,83,47,77,61
2017/8/14,37,80,44,74,58
2017/8/15,41,76,40,70,55
2017/8/16,38,79,43,73,58
2017/8/17,36,81,45,75,60
2017/8/18,37,81,45,75,59
2017/8/19,39,78,42,72,57
2017/8/20,36,82,46,76,60
2017/8/21,37,80,44,74,59
2017/8/22,40,78,42,72,57
2017/8/23,39,78,42,72,58
2017/8/24,39,78,42,72,57
2017/8/25,41,76,40,70,56
2017/8/26,41,76,40,70,56
2017/8/27,37,81,45,75,60
2017/8/28,38,79,43,73,59
2017/8/29,36,81,45,75,60
2017/8/30,37,81,45,75,60
2017/8/31,31,86,50,80,65
2017/9/1,40,77,41,71,57
2017/9/2,35,83,46,76,62
2017/9/3,32,85,49,79,64
2017/9/4,32,86,49,79,64
2017/9/5,41,77,40,70,56
2017/9/6,32,85,49,79,64
2017/9/7,33,84,48,78,63
2017/9/8,41,77,40,70,57
2017/9/9,39,78,42,72,58
2017/9/10,37,81,45,75,61
2017/9/11,33,85,48,78,64
2017/9/12,37,80,44,74,60
2017/9/13,37,80,44,74,60
2017/9/14,36,82,46,76,62
2017/9/15,35,83,47,77,62
2017/9/16,41,76,40,70,57
2017/9/17,39,79,42,72,59
2017/9/18,37,81,45,75,61
2017/9/19,33,85,48,78,64
2017/9/20,41,77,40,70,57
2017/9/21,34,84,48,78,64
2017/9/22,35,82,46,76,62
2017/9/23,41,77,40,70,57
2017/9/24,32,86,50,80,66
2017/9/25,38,80,44,74,60
2017/9/26,33,85,48,78,65
2017/9/27,35,83,47,77,63
2017/9/28,34,85,48,78,65
2017/9/29,39,79,43,73,60
2017/9/30,42,77,40,70,58
2017/10/1,40,78,42,72,59
2017/10/2,36,82,46,76,63
2017/10/3,39,79,43,73,60
2017/10/4,34,84,48,78,65
2017/10/5,32,86,49,79,66
2017/10/6,32,86,50,80,67
2017/10/7,39,79,42,72,60
2017/10/8,33,86,49,79,66
2017/10/9,36,83,46,76,63
2017/10/10,35,83,47,77,64
2017/10/11,38,81,44,74,62
2017/10/12,37,81,45,75,63
2017/10/13,37,81,45,75,63
2017/10/14,38,80,44,74,62
2017/10/15,40,79,42,72,60
2017/10/16,41,78,41,71,59
2017/10/17,39,80,43,73,61
2017/10/18,36,82,45,75,63
2017/10/19,37,81,45,75,63
2017/10/20,34,84,48,78,65
2017/10/21,35,84,47,77,65
2017/10/22,38,81,44,74,62
2017/10/23,40,79,42,72,61
2017/10/24,40,79,42,72,61
2017/10/25,34,85,48,78,66
2017/10/26,32,86,50,80,67
2017/10/27,39,79,43,73,61
2017/10/28,36,83,46,76,65
2017/10/29,36,83,46,76,64
2017/10/30,35,83,47,77,65
2017/10/31,36,83,46,76,65
2017/11/1,35,83,47,77,65
2017/11/2,33,86,49,79,68
2017/11/3,38,81,44,74,63
2017/11/4,40,79,42,72,62
2017/11/5,38,81,44,74,63
2017/11/6,40,79,42,72,62
2017/11/7,33,86,49,79,68
2017/11/8,35,84,47,77,66
2017/11/9,33,86,49,79,68
2017/11/10,40,79,42,72,62
2017/11/11,37,82,45,75,64
2017/11/12,33,86,49,79,68
2017/11/13,37,82,45,75,65
2017/11/14,41,78,41,71,61
2017/11/15,36,83,46,76,65
2017/11/16,40,79,42,72,62
2017/11/17,42,77,40,70,60
2017/11/18,41,78,41,71,62
2017/11/19,35,84,47,77,66
2017/11/20,35,84,47,77,67
2017/11/21,38,82,44,74,65
2017/11/22,32,87,50,80,69
2017/11/23,33,86,49,79,69
2017/11/24,33,86,49,79,69
2017/11/25,40,79,42,72,63
2017/11/26,42,77,40,70,61
2017/11/27,42,78,41,71,61
2017/11/28,41,79,41,71,62
2017/11/29,42,78,41,71,62
2017/11/30,37,82,45,75,66
2017/12/1,41,78,41,71,62
2017/12/2,42,78,41,71,62
2017/12/3,35,85,48,78,68
2017/12/4,34,86,48,78,69
2017/12/5,34,85,48,78,68
2017/12/6,33,87,50,80,70
2017/12/7,40,79,42,72,63
2017/12/8,35,85,48,78,68
2017/12/9,42,78,40,70,62
2017/12/10,38,82,44,74,66
2017/12/11,34,85,48,78,69
2017/12/12,38,82,45,75,66
2017/12/13,38,82,44,74,66
2017/12/14,34,86,49,79,69
2017/12/15,35,85,48,78,69
2017/12/16,42,78,40,70,62
2017/12/17,33,87,49,79,70
2017/12/18,39,81,43,73,65
2017/12/19,39,81,44,74,65
2017/12/20,38,82,45,75,66
2017/12/21,42,78,41,71,63
2017/12/22,38,82,45,75,66
2017/12/23,37,83,46,76,67
2017/12/24,35,85,48,78,69
2017/12/25,37,83,46,76,67
2017/12/26,38,82,45,75,66
2017/12/27,38,82,44,74,66
2017/12/28,41,79,42,72,64
2017/12/29,38,82,45,75,67
2017/12/30,38,82,44,74,66
2017/12/31,41,79,42,72,64
2018/1/1,39,81,43,73,65
2018/1/2,34,86,49,79,70
2018/1/3,42,78,40,70,63
2018/1/4,42,78,41,71,63
2018/1/5,34,86,48,78,70
2018/1/6,40,80,43,73,65
2018/1/7,40,80,42,72,65
2018/1/8,35,85,48,78,69
2018/1/9,35,85,47,77,69
2018/1/10,38,82,45,75,67
2018/1/11,40,80,43,73,65
2018/1/12,35,85,47,77,69
2018/1/13,37,83,46,76,68
2018/1/14,37,83,46,76,68
2018/1/15,40,80,42,72,65
2018/1/16,41,80,42,72,65
2018/1/17,39,82,44,74,67
2018/1/18,37,83,45,75,68
2018/1/19,36,85,47,77,69
2018/1/20,36,85,47,77,69
2018/1/21,33,87,50,80,72
2018/1/22,38,82,44,74,67
2018/1/23,35,86,48,78,70
2018/1/24,41,79,41,71,65
2018/1/25,42,79,41,71,65
2018/1/26,41,79,41,71,65
2018/1/27,34,86,49,79,71
2018/1/28,33,88,50,80,72
2018/1/29,39,81,44,74,67
2018/1/30,43,78,40,70,64
2018/1/31,39,82,44,74,67
2018/2/1,34,87,49,79,72
2018/2/2,33,87,49,79,72
2018/2/3,33,88,50,80,73
2018/2/4,41,80,42,72,66
2018/2/5,39,82,44,74,68
2018/2/6,38,83,45,75,69
2018/2/7,38,82,44,74,68
2018/2/8,40,81,43,73,67
2018/2/9,40,81,43,73,67
2018/2/10,35,86,48,78,72
2018/2/11,40,81,43,73,67
2018/2/12,39,82,44,74,68
2018/2/13,42,79,41,71,66
2018/2/14,39,82,44,74,68
2018/2/15,40,81,43,73,67
2018/2/16,36,85,47,77,71
2018/2/17,43,78,40,70,65
2018/2/18,37,84,47,77,71
2018/2/19,37,84,46,76,70
2018/2/20,35,86,48,78,72
2018/2/21,34,87,49,79,73
2018/2/22,39,82,44,74,69
2018/2/23,40,81,43,73,68
2018/2/24,38,83,45,75,69
2018/2/25,42,79,41,71,66
2018/2/26,36,85,47,77,72
2018/2/27,37,84,46,76,71
2018/2/28,35,87,49,79,73
2018/3/1,35,86,48,78,73
2018/3/2,37,84,46,76,71
2018/3/3,36,86,48,78,72
2018/3/4,34,87,49,79,73
2018/3/5,38,83,45,75,70
2018/3/6,37,84,46,76,71
2018/3/7,35,86,48,78,73
2018/3/8,41,80,42,72,68
2018/3/9,36,86,48,78,72
2018/3/10,40,81,43,73,69
2018/3/11,35,86,48,78,73
2018/3/12,36,86,48,78,73
2018/3/13,39,83,45,75,70
2018/3/14,42,79,41,71,67
2018/3/15,34,87,49,79,74
2018/3/16,36,86,48,78,73
2018/3/17,41,81,42,72,68
2018/3/18,41,80,42,72,68
2018/3/19,43,78,40,70,67
2018/3/20,36,85,47,77,72
2018/3/21,38,83,45,75,71
2018/3/22,41,81,43,73,69
2018/3/23,34,87,49,79,74
2018/3/24,34,88,49,79,75
2018/3/25,37,85,47,77,72
2018/3/26,41,81,43,73,69
2018/3/27,40,81,43,73,69
2018/3/28,36,86,47,77,73
2018/3/29,34,88,49,79,75
2018/3/30,36,86,47,77,73
2018/3/31,37,85,47,77,73
2018/4/1,41,81,43,73,70
2018/4/2,42,80,42,72,69
2018/4/3,35,87,48,78,74
2018/4/4,37,85,46,76,73
2018/4/5,42,80,42,72,69
2018/4/6,43,79,40,70,68
2018/4/7,43,79,40,70,68
2018/4/8,42,80,41,71,68
2018/4/9,38,84,45,75,72
2018/4/10,34,88,50,80,76
2018/4/11,43,79,40,70,68
2018/4/12,35,87,48,78,75
2018/4/13,43,79,40,70,68
2018/4/14,43,79,40,70,68
2018/4/15,43,79,41,71,69
2018/4/16,39,84,45,75,72
2018/4/17,41,81,42,72,70
2018/4/18,41,82,43,73,71
2018/4/19,35,88,49,79,76
2018/4/20,40,83,44,74,72
2018/4/21,38,84,46,76,73
2018/4/22,40,82,43,73,71
2018/4/23,43,79,40,70,69
2018/4/24,36,86,48,78,75
2018/4/25,43,80,41,71,69
2018/4/26,38,85,46,76,74
2018/4/27,38,84,46,76,73
2018/4/28,34,88,50,80,77
2018/4/29,38,84,45,75,73
2018/4/30,40,83,44,74,72
2018/5/1,41,81,42,72,71
2018/5/2,42,81,42,72,70
2018/5/3,39,84,45,75,73
2018/5/4,38,84,46,76,74
2018/5/5,39,83,45,75,73
2018/5/6,42,80,42,72,70
2018/5/7,38,85,46,76,74
2018/5/8,42,81,42,72,71
2018/5/9,39,84,45,75,74
2018/5/10,40,82,44,74,73
2018/5/11,38,85,46,76,75
2018/5/12,35,88,49,79,77
2018/5/13,42,81,42,72,72
2018/5/14,41,82,43,73,72
2018/5/15,43,80,41,71,70
2018/5/16,37,86,47,77,76
2018/5/17,35,88,49,79,78
2018/5/18,41,82,43,73,72
2018/5/19,39,84,45,75,74
2018/5/20,36,87,48,78,77
2018/5/21,42,81,42,72,72
2018/5/22,40,83,44,74,74
2018/5/23,40,83,44,74,74
2018/5/24,36,87,48,78,77
2018/5/25,35,88,49,79,78
2018/5/26,37,86,47,77,76
2018/5/27,42,81,42,72,71
2018/5/28,42,81,42,72,72
2018/5/29,40,83,44,74,74
2018/5/30,40,83,44,74,74
2018/5/31,43,80,41,71,71
2018/6/1,40,83,44,74,74
2018/6/2,38,85,46,76,75
2018/6/3,39,84,45,75,75
2018/6/4,43,80,41,71,72
2018/6/5,44,79,40,70,71
2018/6/6,39,84,45,75,75
2018/6/7,44,79,40,70,71
2018/6/8,39,84,45,75,75
2018/6/9,34,89,50,80,79
2018/6/10,39,85,46,76,76
2018/6/11,38,85,46,76,76
2018/6/12,44,80,40,70,71
2018/6/13,36,88,48,78,78
2018/6/14,41,83,43,73,74
2018/6/15,41,82,43,73,74
2018/6/16,37,86,47,77,78
2018/6/17,39,85,45,75,76
2018/6/18,40,83,44,74,75
2018/6/19,42,82,43,73,74
2018/6/20,42,82,43,73,74
2018/6/21,42,82,43,73,74
2018/6/22,42,82,42,72,74
2018/6/23,42,82,43,73,74
2018/6/24,37,87,47,77,78
2018/6/25,38,86,47,77,78
2018/6/26,38,85,46,76,77
2018/6/27,42,82,42,72,74
2018/6/28,43,80,41,71,73
2018/6/29,39,85,45,75,77
2018/6/30,41,83,44,74,76
2018/7/1,38,87,47,77,79
2018/7/2,37,87,48,78,80
2018/7/3,42,82,42,72,75
2018/7/4,45,80,40,70,73
2018/7/5,37,87,47,77,80
2018/7/6,40,85,45,75,78
2018/7/7,41,83,43,73,76
2018/7/8,41,84,44,74,77
2018/7/9,40,84,45,75,77
2018/7/10,37,88,48,78,80
2018/7/11,40,84,45,75,77
2018/7/12,38,86,47,77,79
2018/7/13,37,88,48,78,80
2018/7/14,35,89,50,80,82
2018/7/15,45,80,40,70,74
2018/7/16,42,83,43,73,76
2018/7/17,45,80,40,70,74
2018/7/18,42,83,43,73,77
2018/7/19,42,83,43,73,76
2018/7/20,44,81,41,71,75
2018/7/21,35,89,50,80,83
2018/7/22,40,85,45,75,78
2018/7/23,35,89,50,80,83
2018/7/24,39,86,46,76,80
2018/7/25,45,80,40,70,75
2018/7/26,43,82,42,72,76
2018/7/27,36,89,49,79,82
2018/7/28,35,90,50,80,83
2018/7/29,36,89,49,79,82
2018/7/30,42,83,43,73,78
2018/7/31,40,85,45,75,79
2018/8/1,44,81,41,71,76
2018/8/2,37,88,48,78,82
2018/8/3,42,83,43,73,78
2018/8/4,38,87,47,77,81
2018/8/5,38,87,47,77,81
2018/8/6,41,84,44,74,79
2018/8/7,38,87,47,77,81
2018/8/8,38,87,47,77,82
2018/8/9,38,87,47,77,81
2018/8/10,35,90,50,80,84
2018/8/11,42,83,43,73,78
2018/8/12,37,88,48,78,83
2018/8/13,42,83,43,73,78
2018/8/14,40,85,45,75,80
2018/8/15,43,82,42,72,78
2018/8/16,36,89,49,79,84
2018/8/17,36,89,49,79,84
2018/8/18,40,86,46,76,81
2018/8/19,36,89,49,79,84
2018/8/20,37,89,49,79,84
2018/8/21,44,81,41,71,77
2018/8/22,36,90,50,80,85
2018/8/23,37,88,48,78,83
2018/8/24,39,87,46,76,82
2018/8/25,44,81,41,71,78
2018/8/26,40,85,45,75,81
2018/8/27,40,86,46,76,82
2018/8/28,42,84,44,74,80
2018/8/29,38,88,48,78,84
2018/8/30,36,90,49,79,86
2018/8/31,40,86,46,76,82
2018/9/1,36,90,49,79,86
2018/9/2,42,84,44,74,81
2018/9/3,42,84,43,73,80
2018/9/4,38,88,47,77,84
2018/9/5,42,84,44,74,81
2018/9/6,38,88,48,78,84
2018/9/7,41,86,45,75,82
2018/9/8,45,81,41,71,78
2018/9/9,45,82,41,71,79
2018/9/10,36,90,50,80,86
2018/9/11,45,81,40,70,78
2018/9/12,44,82,42,72,80
2018/9/13,40,86,46,76,83
2018/9/14,43,83,42,72,80
2018/9/15,37,90,49,79,86
2018/9/16,37,89,49,79,86
2018/9/17,40,86,45,75,83
2018/9/18,42,84,43,73,81
2018/9/19,40,87,46,76,84
2018/9/20,43,83,43,73,81
2018/9/21,40,86,46,76,83
2018/9/22,40,87,46,76,84
2018/9/23,45,81,41,71,79
2018/9/24,38,89,48,78,86
2018/9/25,39,87,47,77,85
2018/9/26,40,87,46,76,84
2018/9/27,40,86,46,76,84
2018/9/28,44,83,42,72,81
2018/9/29,44,83,42,72,81
2018/9/30,43,84,43,73,82
2018/10/1,44,83,42,72,81
2018/10/2,42,85,44,74,82
2018/10/3,36,90,50,80,88
2018/10/4,44,83,42,72,81
2018/10/5,44,83,42,72,81
2018/10/6,37,90,49,79,87
2018/10/7,37,90,49,79,87
2018/10/8,44,83,42,72,82
2018/10/9,41,86,45,75,84
2018/10/10,41,86,45,75,84
2018/10/11,43,84,43,73,83
2018/10/12,36,91,50,80,88
2018/10/13,45,82,41,71,81
2018/10/14,41,86,45,75,85
2018/10/15,40,87,46,76,86
2018/10/16,38,89,48,78,87
2018/10/17,38,89,48,78,87
2018/10/18,46,81,40,70,81
2018/10/19,36,91,50,80,89
2018/10/20,41,86,45,75,85
2018/10/21,40,87,46,76,86
2018/10/22,40,87,46,76,86
2018/10/23,39,88,47,77,87
2018/10/24,37,91,50,80,89
2018/10/25,38,89,48,78,87
2018/10/26,39,88,47,77,87
2018/10/27,37,91,50,80,89
2018/10/28,42,86,45,75,85
2018/10/29,37,90,49,79,89
2018/10/30,45,82,41,71,82
2018/10/31,44,84,42,72,83
2018/11/1,41,86,45,75,86
2018/11/2,44,84,43,73,83
2018/11/3,39,89,47,77,88
2018/11/4,43,85,44,74,85
2018/11/5,43,85,44,74,85
2018/11/6,37,90,49,79,89
2018/11/7,44,83,42,72,83
2018/11/8,37,91,50,80,90
2018/11/9,42,85,44,74,85
2018/11/10,39,89,47,77,88
2018/11/11,44,83,42,72,84
2018/11/12,41,87,45,75,86
2018/11/13,40,88,46,76,87
2018/11/14,38,90,49,79,90
2018/11/15,40,88,46,76,88
2018/11/16,43,85,44,74,86
2018/11/17,39,89,47,77,89
2018/11/18,44,84,42,72,84
2018/11/19,43,85,43,73,86
2018/11/20,44,84,43,73,85
2018/11/21,42,86,44,74,87
2018/11/22,46,82,40,70,83
2018/11/23,37,91,49,79,91
2018/11/24,39,90,48,78,91
2018/11/25,38,91,49,79,92
2018/11/26,41,87,45,75,89
2018/11/27,41,88,46,76,89
2018/11/28,41,87,45,75,89
2018/11/29,45,84,42,72,86
2018/11/30,45,84,42,72,86
2018/12/1,37,92,50,80,93
2018/12/2,40,89,47,77,91
2018/12/3,46,83,41,71,86
2018/12/4,42,87,45,75,89
2018/12/5,39,90,48,78,93
2018/12/6,43,86,44,74,89
2018/12/7,38,91,49,79,94
2018/12/8,44,85,43,73,88
2018/12/9,41,88,46,76,91
2018/12/10,39,90,48,78,93
2018/12/11,44,85,43,73,89
2018/12/12,43,87,45,75,90
2018/12/13,44,85,43,73,88
2018/12/14,44,86,43,73,89
2018/12/15,40,89,47,77,92
2018/12/16,40,90,47,77,93
2018/12/17,47,83,40,70,87
2018/12/18,39,91,49,79,94
2018/12/19,43,86,44,74,90
2018/12/20,44,86,44,74,90
2018/12/21,47,83,40,70,87
2018/12/22,47,83,40,70,87
2018/12/23,42,88,46,76,92
2018/12/24,44,86,44,74,90
2018/12/25,39,91,48,78,94
2018/12/26,41,89,47,77,93
2018/12/27,47,83,40,70,87
2018/12/28,47,83,41,71,88
2018/12/29,45,85,42,72,89
2018/12/30,38,92,50,80,96
2018/12/31,47,83,41,71,89
2019/1/1,43,88,45,75,92
2019/1/2,47,83,41,71,89
2019/1/3,45,85,43,73,91
2019/1/4,42,89,46,76,94
2019/1/5,45,86,43,73,91
2019/1/6,44,87,44,74,92
2019/1/7,40,91,48,78,96
2019/1/8,45,86,43,73,92
2019/1/9,44,87,44,74,93
2019/1/10,42,89,46,76,95
2019/1/11,38,92,50,80,98
2019/1/12,39,92,49,79,97
2019/1/13,38,93,50,80,98
2019/1/14,38,93,50,80,98
2019/1/15,41,90,47,77,97
2019/1/16,47,84,41,71,91
2019/1/17,45,87,43,73,94
2019/1/18,45,87,44,74,94
2019/1/19,39,93,50,80,99
2019/1/20,47,84,41,71,92
2019/1/21,45,87,43,73,94
2019/1/22,42,90,47,77,98
2019/1/23,38,93,50,80,101
2019/1/24,40,92,49,79,100
2019/1/25,39,93,50,80,101
2019/1/26,41,92,48,78,101
2019/1/27,43,90,46,76,99
2019/1/28,43,90,46,76,99
2019/1/29,40,92,48,78,101
2019/1/30,44,88,45,75,98
2019/1/31,49,84,40,70,94
2019/2/1,43,90,46,76,99
2019/2/2,45,88,44,74,98
2019/2/3,49,84,40,70,95
2019/2/4,41,92,48,78,102
2019/2/5,39,94,50,80,103
2019/2/6,41,92,48,78,101
2019/2/7,44,89,45,75,99
2019/2/8,44,89,45,75,99
2019/2/9,41,92,48,78,102
2019/2/10,42,91,47,77,101
2019/2/11,40,94,49,79,104
2019/2/12,40,93,49,79,103
2019/2/13,42,92,48,78,103
2019/2/14,48,86,41,71,98
2019/2/15,41,93,49,79,104
2019/2/16,40,94,50,80,105
2019/2/17,49,85,41,71,98
2019/2/18,42,92,48,78,104
2019/2/19,44,90,45,75,102
2019/2/20,44,90,46,76,103
2019/2/21,44,90,45,75,102
2019/2/22,44,90,46,76,103
2019/2/23,48,87,42,72,100
2019/2/24,46,88,44,74,102
2019/2/25,45,89,45,75,103
2019/2/26,47,87,43,73,101
2019/2/27,48,86,41,71,100
2019/2/28,49,86,41,71,100
2019/2/29,48,86,42,72,101
2019/3/1,47,88,43,73,103
2019/3/2,49,86,41,71,101
2019/3/3,40,95,50,80,109
2019/3/4,48,87,42,72,102
2019/3/5,47,88,43,73,104
2019/3/6,42,94,49,79,110
2019/3/7,49,87,42,72,104
2019/3/8,42,94,48,78,110
2019/3/9,45,91,46,76,108
2019/3/10,42,94,49,79,111
2019/3/11,48,89,43,73,108
2019/3/12,43,94,48,78,112
2019/3/13,49,89,43,73,108
2019/3/14,50,88,41,71,108
2019/3/15,48,90,43,73,110
2019/3/16,42,96,50,80,117
2019/3/17,42,97,50,80,117
2019/3/18,51,87,41,71,109
2019/3/19,50,89,42,72,111
2019/3/20,52,87,40,70,109
2019/3/21,45,94,47,77,116
2019/3/22,49,90,43,73,114
2019/3/23,46,94,46,76,116
2019/3/24,47,93,45,75,118
2019/3/25,44,97,49,79,123
2019/3/26,52,89,41,71,117
2019/3/27,47,94,46,76,121
2019/3/28,50,91,43,73,120
2019/3/29,53,89,40,70,117
2019/3/30,44,98,49,79,125
2019/3/31,46,97,48,78,125
